INFO ( 2020-11-15 12:22:46,994 ) : Watching for file changes with StatReloader [ autoreload 15788 8868 ] 
INFO ( 2020-11-15 12:24:07,141 ) : HTTP GET /admin/logout/ 200 [0.21, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:24:09,573 ) : HTTP GET / 200 [0.02, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:24:15,257 ) : HTTP GET /dashboard 302 [0.01, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:24:15,413 ) : HTTP GET /?next=/dashboard 200 [0.02, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:24:27,220 ) : >>>>>>>>>>>>>> mohamed : a entrer dans son compte [ views 15788 11688 ] 
INFO ( 2020-11-15 12:24:27,236 ) : HTTP POST / 302 [1.31, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:24:30,152 ) : HTTP GET /dashboard 200 [2.90, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:24:33,932 ) : HTTP GET /admin/login/ 200 [0.19, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:24:34,048 ) : HTTP GET /static/admin/css/login.css 304 [0.02, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:24:42,403 ) : HTTP POST /admin/login/ 302 [1.30, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:24:42,531 ) : HTTP GET /admin/ 200 [0.12, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:24:54,615 ) : HTTP GET /admin/logout/ 200 [0.11, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:24:56,639 ) : HTTP GET / 200 [0.01, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:25:02,819 ) : >>>>>>>>>>>>>> root : a entrer dans son compte [ views 15788 15336 ] 
INFO ( 2020-11-15 12:25:02,835 ) : HTTP POST / 302 [1.38, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:25:05,975 ) : HTTP GET /dashboard 200 [3.12, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:25:22,883 ) : HTTP GET /pre_monitor/192.168.126.1 200 [0.10, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:25:41,404 ) : HTTP POST /test_snmp/ 200 [13.78, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:25:42,700 ) : WebSocket HANDSHAKING /ws/polData/ [127.0.0.1:58616] [ runserver 15788 8948 ] 
WARNING ( 2020-11-15 12:25:42,708 ) : Not Found: /test_snmp/widgets.html [ log 15788 11688 ] 
WARNING ( 2020-11-15 12:25:42,720 ) : HTTP GET /test_snmp/widgets.html 404 [0.10, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:25:42,720 ) : WebSocket CONNECT /ws/polData/ [127.0.0.1:58616] [ runserver 15788 8948 ] 
